Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-08-26,6983.13037109375,7092.24178314209,6983.13037109375,7004.952653503417,80472400
2022-08-29,7114.064453125,7114.064453125,6939.486184336656,6983.130751533742,57762100
2022-08-30,7135.88671875,7223.175852924312,7048.5975845756875,7070.419868119266,124467000
2022-08-31,7157.70849609375,7179.530778094036,7026.774804092035,7048.597086092321,137659900
2022-09-01,7114.064453125,7201.353587519171,7092.242169526457,7114.064453125,74960800
2022-09-02,7179.53076171875,7179.53076171875,7114.063915867211,7114.063915867211,71430600
2022-09-05,7223.17529296875,7244.997574820619,7157.708447413142,7179.530729265011,62906000
2022-09-06,7223.17529296875,7288.6421385243575,7201.35301111688,7244.997574820619,67079900
2022-09-07,7310.46435546875,7310.46435546875,7201.352947178172,7201.352947178172,117931700
2022-09-08,7288.64306640625,7419.576774186003,7288.64306640625,7332.287635666167,132777400
2022-09-09,7310.46435546875,7419.575763759329,7223.175228836288,7419.575763759329,91234600
2022-09-12,7310.46435546875,7354.108918784981,7266.819792152519,7266.819792152519,52395300
2022-09-13,7441.3984375,7485.043003115836,7310.464740652493,7310.464740652493,124485200
2022-09-14,7419.576171875,7550.5098690257355,7310.46475758272,7310.46475758272,116642400
2022-09-15,7637.7978515625,7746.909249441965,7419.575055803572,7419.575055803572,190404800
2022-09-16,7375.931640625,7615.976753189719,7375.931640625,7594.1544702292895,363127600
2022-09-19,7550.50927734375,7637.79840193732,7375.931028156611,7397.753309305004,102530600
2022-09-20,7463.22021484375,7550.50934016356,7463.22021484375,7463.22021484375,89238400
2022-09-21,7397.75390625,7506.86532079646,7354.109340431416,7441.398472068584,90933700
2022-09-22,7397.75390625,7441.398472068584,7310.464774612831,7310.464774612831,61908500
2022-09-23,7310.46435546875,7397.753482101213,7310.46435546875,7310.46435546875,60567600
2022-09-26,7354.10888671875,7419.575731407641,7157.708352652077,7157.708352652077,106228200
2022-09-27,7244.998046875,7375.93174651732,7244.998046875,7310.46489669616,89567100
